system:index,ARVI,ARVI_INTP,B,CMRI,CMRI_INTP,CVI,CVI_INTP,EVI_INTP,EVI_RMSE,G,GLI,GLI_INTP,IPVI,IPVI_INTP,MCARI1,MCARI1_INTP,MCARI2,MCARI2_INTP,N,NDTI,NDTI_INTP,NDVI,NDVI_INTP,NDWI,NDWI_INTP,NLI,NLI_INTP,N_INTP,OSAVI,OSAVI_INTP,R,R_INTP,TDVI,TDVI_INTP,TVI,TVI_INTP,TriVI,TriVI_INTP,WDRVI,WDRVI_INTP,cloudy_B,cloudy_G,cloudy_N,cloudy_R,landcover,latitude,longitude,.geo
1_00000000000000000001_0,0.75116867,0.7200436,0.0346,1.3374566,1.2406527,3.1155531663397213,2.7048357,2.0702975,0.18512742,0.056400000000000006,0.19936204146730463,0.20310122,0.856791,0.8341718,3165.24,2830.18,0.8125149529867114,0.7920619,0.24350000000000002,-0.16168898,-0.15662566,0.713582,0.6683436,-0.6238746,-0.572309,0.99986273,0.9998194,0.22332083,0.7135418132687815,0.66830343,0.0407,0.0443125,1.2492383864757939,1.2008512,1.1016269715824614,1.0807616,127960.0,115495.66,-0.2513451191391238,-0.32677552,0.038400000000000004,0.0606,0.2358,0.0426,mangrove,22.372282975326456,89.46618982919186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005_0,0.6173839,0.647379,0.0449,1.0636042,1.1462265,1.8664665389990167,2.0431993,3.0066123,1.1072338,0.0695,0.20138288677614521,0.2164163,0.79983145,0.8218387,2392.3199999999997,2785.5808,0.7878773978956466,0.8153776,0.1898,-0.18803419,-0.2138734,0.5996629,0.64367735,-0.4639414,-0.5025492,0.9997363,0.9997615,0.19975,0.5996224443358223,0.64363426,0.0475,0.041966666,1.1245306333392384,1.1703848,1.048648117339252,1.0687654,94180.0,114086.61,-0.4290012033694344,-0.35050768,0.0422,0.06380000000000001,0.186,0.044000000000000004,mangrove,21.74621366236032,89.56050188474642,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006_0,0.76848394,0.7674043,0.031,1.340448,1.3366315,2.7112834718374885,2.8463118,2.1450584,0.13497895,0.057,0.2513721185510428,0.24299054,0.86423355,0.8612493,3183.12,3427.37,0.8402262532783203,0.8307919,0.2368,-0.21019109,-0.19663307,0.72846717,0.7224987,-0.6119809,-0.6141329,0.9998673,0.99986756,0.25207084,0.7284246175405816,0.72245866,0.037200000000000004,0.040208332,1.2643161146783646,1.2574352,1.1083623745349134,1.1055299,127680.0,140556.62,-0.22207621550591328,-0.2280431,0.0449,0.0704,0.2509,0.051300000000000005,mangrove,22.44632118362207,89.47540250158816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007_0,0.71164936,0.67891026,0.0375,1.2640672,1.1875366,2.694907486142378,2.5840063,2.2193553,0.26191682,0.0589,0.1941206284845413,0.17648032,0.84126985,0.81985295,2864.28,2720.241,0.8042998360775498,0.77150446,0.22260000000000002,-0.16749257,-0.143788,0.6825397,0.63970596,-0.58152753,-0.5478307,0.9998305,0.999796,0.22005834,0.6824984127943889,0.63966745,0.042,0.04835,1.216929497348006,1.1683589,1.0874464044446892,1.0672746,115120.0,108840.414,-0.3071895424836601,-0.3681989,0.0597,0.076,0.2735,0.0601,mangrove,22.18548773473033,89.434481096293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008_0,0.7462214,0.7479709,0.0361,1.2912565,1.302986,2.8460941726464495,2.8055248,2.1359746,0.17061509,0.0626,0.21435499515033948,0.22509867,0.8469144,0.85111994,3206.52,3460.7017,0.8068729491917421,0.8142219,0.2484,-0.16465116,-0.18053688,0.6938288,0.7022399,-0.59742767,-0.6007462,0.99985445,0.999861,0.25810418,0.6937909967407165,0.7022026,0.0449,0.044908334,1.2288199756606746,1.2360392,1.0926247499424675,1.096227,129180.0,141666.5,-0.2876398049899627,-0.26227513,0.059800000000000006,0.08310000000000001,0.2333,0.067,mangrove,22.029787268883,89.10518162017455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009_0,0.78109115,0.73348844,0.0323,1.3875904,1.2773104,3.230307831598008,2.9040976,2.0959823,0.22333454,0.056400000000000006,0.2247557003257329,0.20156913,0.8704869,0.84164834,3491.1599999999994,3024.972,0.8303571819520684,0.7938269,0.26280000000000003,-0.18115184,-0.15428619,0.74097383,0.6832967,-0.6466165,-0.59401363,0.99988675,0.9998395,0.2384375,0.7409345645808768,0.6832577,0.0391,0.045275,1.2767902960277624,1.2154548,1.1139900504020819,1.0874487,141140.0,125221.234,-0.1960844294891404,-0.2964744,0.036500000000000005,0.061000000000000006,0.2107,0.0454,mangrove,22.3576608193572,89.60360862163324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a_0,0.76078314,0.7416136,0.0391,1.4007882,1.3137683,2.9082873153752717,2.810614,2.289108,0.22441496,0.0626,0.22805296714075526,0.21721378,0.87904704,0.8546416,3932.88,3696.0562,0.8541556073855101,0.82080215,0.2878,-0.22504893,-0.18634358,0.7580941,0.7092833,-0.64269406,-0.60448503,0.9999044,0.99987566,0.27962917,0.7580570283675814,0.7092485,0.0396,0.0473,1.2935757100648124,1.2436169,1.1216479280623546,1.0994834,158120.0,153266.88,-0.15823340157940918,-0.25218147,0.0517,0.07640000000000001,0.25570000000000004,0.058100000000000006,mangrove,21.768301076295852,89.26115430632565,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b_0,0.7627606,0.7563938,0.033,1.3518901,1.3295054,2.9157928224832514,2.8675234,2.3256989,0.91357356,0.056900000000000006,0.22827846735024285,0.23265427,0.8642933,0.8587158,3263.52,3576.8713,0.8319346704003796,0.8255836,0.2452,-0.19287212,-0.19175053,0.72858655,0.7174315,-0.62330353,-0.612074,0.9998719,0.9998711,0.26325417,0.7285454468553061,0.7173938,0.0385,0.042891666,1.2644374408862045,1.251749,1.108416228260963,1.1031489,131380.0,148365.94,-0.22183433830529986,-0.23355646,0.043500000000000004,0.06520000000000001,0.2553,0.0495,mangrove,21.82205279992692,89.0597610027789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,0.7695797,0.7097101,0.0381,1.3973103,1.2581604,2.7959265089857124,2.3332152,2.5342762,0.40498126,0.06470000000000001,0.2472289156626506,0.23236154,0.8797354,0.8467616,4022.7599999999993,3528.4158,0.8593424999954173,0.83017784,0.2926,-0.23591213,-0.21962093,0.7594708,0.69352317,-0.6378394,-0.5646372,0.99990654,0.9998539,0.25735417,0.7594343026192366,0.6934864,0.04,0.046254165,1.2949116130188254,1.2255397,1.122261482827797,1.0920256,161440.0,144561.53,-0.15506786023678887,-0.27116668,0.0261,0.056100000000000004,0.2437,0.0328,mangrove,21.841185293812945,89.71600322486796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0,0.75778544,0.75739527,0.035,1.3138568,1.3301185,3.0782548476454292,2.823559,2.2499888,0.3386031,0.0608,0.20754716981132076,0.23766777,0.85006696,0.8599597,3262.08,3681.8572,0.8027545265604239,0.83042336,0.254,-0.15151516,-0.1992422,0.70013386,0.71991944,-0.613723,-0.61019903,0.9998611,0.99986583,0.26694167,0.700096380381238,0.7198811,0.0448,0.042866666,1.2353901309098057,1.2539864,1.0955062157781523,1.1042325,131920.0,150153.52,-0.27635327635327633,-0.22781247,0.029,0.045000000000000005,0.10310000000000001,0.028200000000000003,mangrove,21.895307225495824,89.83585366529778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f_0,0.7151989,0.66241527,0.040100000000000004,1.2248821,1.1315622,2.556215173921625,2.37368,2.4524038,2.3434083,0.0679,0.2087227414330218,0.1827649,0.83189803,0.8073357,3072.8399999999997,2844.3738,0.7953288921414743,0.7625526,0.24150000000000002,-0.16366753,-0.14439802,0.66379607,0.61467135,-0.561086,-0.51689094,0.9998327,0.99979204,0.2338375,0.6637594896595435,0.614637,0.0488,0.055870835,1.1968442878839058,1.1404808,1.0787938046855396,1.0555578,123260.0,114787.68,-0.3379026730637423,-0.40492627,0.0492,0.0745,0.2411,0.057,mangrove,21.862780853636313,89.1772975626999,"{""type"":""MultiPoint"",""coordinates"":[]}"
