"ARVI","ARVI_INTP","B","CMRI","CMRI_INTP","CVI","CVI_INTP","EVI_INTP","EVI_RMSE","G","GLI","GLI_INTP","IPVI","IPVI_INTP","MCARI1","MCARI1_INTP","MCARI2","MCARI2_INTP","N","NDTI","NDTI_INTP","NDVI","NDVI_INTP","NDWI","NDWI_INTP","NLI","NLI_INTP","N_INTP","OSAVI","OSAVI_INTP","R","R_INTP","TDVI","TDVI_INTP","TVI","TVI_INTP","TriVI","TriVI_INTP","WDRVI","WDRVI_INTP","landcover","cv_fold_id","repeat_cv_id"
0.75116867,0.7200436,0.0346,1.3374566,1.2406527,3.11555316633972,2.7048357,2.0702975,0.18512742,0.0564,0.199362041467305,0.20310122,0.856791,0.8341718,3165.24,2830.18,0.812514952986711,0.7920619,0.2435,-0.16168898,-0.15662566,0.713582,0.6683436,-0.6238746,-0.572309,0.99986273,0.9998194,0.22332083,0.713541813268782,0.66830343,0.0407,0.0443125,1.24923838647579,1.2008512,1.10162697158246,1.0807616,127960,115495.66,-0.251345119139124,-0.32677552,"mangrove",2,34
0.6173839,0.647379,0.0449,1.0636042,1.1462265,1.86646653899902,2.0431993,3.0066123,1.1072338,0.0695,0.201382886776145,0.2164163,0.79983145,0.8218387,2392.32,2785.5808,0.787877397895647,0.8153776,0.1898,-0.18803419,-0.2138734,0.5996629,0.64367735,-0.4639414,-0.5025492,0.9997363,0.9997615,0.19975,0.599622444335822,0.64363426,0.0475,0.041966666,1.12453063333924,1.1703848,1.04864811733925,1.0687654,94180,114086.61,-0.429001203369434,-0.35050768,"mangrove",3,34
0.76848394,0.7674043,0.031,1.340448,1.3366315,2.71128347183749,2.8463118,2.1450584,0.13497895,0.057,0.251372118551043,0.24299054,0.86423355,0.8612493,3183.12,3427.37,0.84022625327832,0.8307919,0.2368,-0.21019109,-0.19663307,0.72846717,0.7224987,-0.6119809,-0.6141329,0.9998673,0.99986756,0.25207084,0.728424617540582,0.72245866,0.0372,0.040208332,1.26431611467836,1.2574352,1.10836237453491,1.1055299,127680,140556.62,-0.222076215505913,-0.2280431,"mangrove",2,34
0.71164936,0.67891026,0.0375,1.2640672,1.1875366,2.69490748614238,2.5840063,2.2193553,0.26191682,0.0589,0.194120628484541,0.17648032,0.84126985,0.81985295,2864.28,2720.241,0.80429983607755,0.77150446,0.2226,-0.16749257,-0.143788,0.6825397,0.63970596,-0.58152753,-0.5478307,0.9998305,0.999796,0.22005834,0.682498412794389,0.63966745,0.042,0.04835,1.21692949734801,1.1683589,1.08744640444469,1.0672746,115120,108840.414,-0.30718954248366,-0.3681989,"mangrove",2,34
0.7462214,0.7479709,0.0361,1.2912565,1.302986,2.84609417264645,2.8055248,2.1359746,0.17061509,0.0626,0.214354995150339,0.22509867,0.8469144,0.85111994,3206.52,3460.7017,0.806872949191742,0.8142219,0.2484,-0.16465116,-0.18053688,0.6938288,0.7022399,-0.59742767,-0.6007462,0.99985445,0.999861,0.25810418,0.693790996740717,0.7022026,0.0449,0.044908334,1.22881997566067,1.2360392,1.09262474994247,1.096227,129180,141666.5,-0.287639804989963,-0.26227513,"mangrove",1,34
0.78109115,0.73348844,0.0323,1.3875904,1.2773104,3.23030783159801,2.9040976,2.0959823,0.22333454,0.0564,0.224755700325733,0.20156913,0.8704869,0.84164834,3491.16,3024.972,0.830357181952068,0.7938269,0.2628,-0.18115184,-0.15428619,0.74097383,0.6832967,-0.6466165,-0.59401363,0.99988675,0.9998395,0.2384375,0.740934564580877,0.6832577,0.0391,0.045275,1.27679029602776,1.2154548,1.11399005040208,1.0874487,141140,125221.234,-0.19608442948914,-0.2964744,"mangrove",2,34
0.76078314,0.7416136,0.0391,1.4007882,1.3137683,2.90828731537527,2.810614,2.289108,0.22441496,0.0626,0.228052967140755,0.21721378,0.87904704,0.8546416,3932.88,3696.0562,0.85415560738551,0.82080215,0.2878,-0.22504893,-0.18634358,0.7580941,0.7092833,-0.64269406,-0.60448503,0.9999044,0.99987566,0.27962917,0.758057028367581,0.7092485,0.0396,0.0473,1.29357571006481,1.2436169,1.12164792806235,1.0994834,158120,153266.88,-0.158233401579409,-0.25218147,"mangrove",1,34
0.7627606,0.7563938,0.033,1.3518901,1.3295054,2.91579282248325,2.8675234,2.3256989,0.91357356,0.0569,0.228278467350243,0.23265427,0.8642933,0.8587158,3263.52,3576.8713,0.83193467040038,0.8255836,0.2452,-0.19287212,-0.19175053,0.72858655,0.7174315,-0.62330353,-0.612074,0.9998719,0.9998711,0.26325417,0.728545446855306,0.7173938,0.0385,0.042891666,1.2644374408862,1.251749,1.10841622826096,1.1031489,131380,148365.94,-0.2218343383053,-0.23355646,"mangrove",3,34
0.7695797,0.7097101,0.0381,1.3973103,1.2581604,2.79592650898571,2.3332152,2.5342762,0.40498126,0.0647,0.247228915662651,0.23236154,0.8797354,0.8467616,4022.76,3528.4158,0.859342499995417,0.83017784,0.2926,-0.23591213,-0.21962093,0.7594708,0.69352317,-0.6378394,-0.5646372,0.99990654,0.9998539,0.25735417,0.759434302619237,0.6934864,0.04,0.046254165,1.29491161301883,1.2255397,1.1222614828278,1.0920256,161440,144561.53,-0.155067860236789,-0.27116668,"mangrove",2,34
0.75778544,0.75739527,0.035,1.3138568,1.3301185,3.07825484764543,2.823559,2.2499888,0.3386031,0.0608,0.207547169811321,0.23766777,0.85006696,0.8599597,3262.08,3681.8572,0.802754526560424,0.83042336,0.254,-0.15151516,-0.1992422,0.70013386,0.71991944,-0.613723,-0.61019903,0.9998611,0.99986583,0.26694167,0.700096380381238,0.7198811,0.0448,0.042866666,1.23539013090981,1.2539864,1.09550621577815,1.1042325,131920,150153.52,-0.276353276353276,-0.22781247,"mangrove",4,34
0.7151989,0.66241527,0.0401,1.2248821,1.1315622,2.55621517392163,2.37368,2.4524038,2.3434083,0.0679,0.208722741433022,0.1827649,0.83189803,0.8073357,3072.84,2844.3738,0.795328892141474,0.7625526,0.2415,-0.16366753,-0.14439802,0.66379607,0.61467135,-0.561086,-0.51689094,0.9998327,0.99979204,0.2338375,0.663759489659543,0.614637,0.0488,0.055870835,1.19684428788391,1.1404808,1.07879380468554,1.0555578,123260,114787.68,-0.337902673063742,-0.40492627,"mangrove",1,34
0.7314587,0.688998,0.0382,1.2876132,1.1910058,2.91193258186506,2.5688565,2.1188917,0.28594774,0.0619,0.194404245055475,0.18742254,0.8446502,0.82105017,3153.36,2882.29,0.800262173298016,0.7731834,0.2463,-0.15485075,-0.14835192,0.6893004,0.6421003,-0.5983128,-0.54890555,0.9998507,0.99980986,0.233075,0.689262591901679,0.64206374,0.0453,0.051125,1.2240711778409,1.1703167,1.09055050846929,1.0682855,127240,114981.914,-0.295581295581296,-0.36098105,"mangrove",5,34
0.81099445,0.7820577,0.0306,1.4465512,1.3787992,3.42319179888869,3.0113928,2.204092,0.12744756,0.0569,0.249176728869374,0.2450304,0.8858006,0.8713615,3975.72,3621.1055,0.847555718617377,0.8401499,0.2932,-0.20168954,-0.20225462,0.7716012,0.742723,-0.67495,-0.6360762,0.9999121,0.9998877,0.26952082,0.771563912318438,0.74268395,0.0378,0.039641667,1.30658788042438,1.2782707,1.12765296455036,1.1147352,160880,146963.31,-0.126340882002384,-0.19044854,"mangrove",2,34
0.73390555,0.6980622,0.0403,1.3003654,1.1966836,2.9856330749354,2.6211147,2.119796,0.6028876,0.0645,0.191135734072022,0.19453782,0.84737015,0.8225655,3368.64,3038.154,0.801826464669496,0.7749581,0.2626,-0.15384616,-0.14867094,0.69474024,0.64513105,-0.6056252,-0.5515526,0.99986285,0.9998139,0.24401666,0.694704371507118,0.64509594,0.0473,0.0522,1.22977499244016,1.1724831,1.09304173698295,1.0695347,136060,122642.516,-0.286025013594345,-0.35540912,"mangrove",2,34
0.797654,0.7603689,0.0276,1.4182565,1.3558166,3.34809900361846,3.0733323,2.4043114,1.1176809,0.0499,0.236679058240397,0.22129364,0.8782235,0.8635819,3289.32,3310.097,0.838511694870543,0.8252069,0.2452,-0.18951133,-0.18568867,0.756447,0.7271638,-0.66180956,-0.62865275,0.99988693,0.999871,0.25082916,0.756403644490287,0.72712296,0.034,0.039891668,1.29196994117924,1.2613264,1.12091346294173,1.1075106,133080,134897.75,-0.161995898838004,-0.2134985,"mangrove",5,34
